BOOK_ID,last_name,first_name,title,Date,url
2735,Marshall,Frances,The Tremlett Diamonds,1895,"https://archive.org/details/texts?&and[]=The%20Tremlett%20Diamonds&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Marshall"""
2736,Marshall,Frances,To His Own Master A Novel,1893,"https://archive.org/details/texts?&and[]=To%20His%20Own%20Master%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Marshall"""
2737,Hall,Agnes,Marston A Novel,1835,"https://archive.org/details/texts?&and[]=Marston%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Hall"""
2738,St George,Catherine,Maria A Domestic Tale,1817,"https://archive.org/details/texts?&and[]=Maria%20A%20Domestic%20Tale&and[]=mediatype%3A%22texts%22&and[]=creator%3A""St%20George"""
2739,St John,James,The Ring And The Veil A Novel,1856,"https://archive.org/details/texts?&and[]=The%20Ring%20And%20The%20Veil%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""St%20John"""
2740,St John,Vane,St Eustace Or The Hundredandone A Novel,1857,"https://archive.org/details/texts?&and[]=St%20Eustace%20Or%20The%20Hundredandone%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""St%20John"""
2741,St Leger,Francis,Mr Blounts Mss Being Selections From The Papers Of A Man Of The World,1826,"https://archive.org/details/texts?&and[]=Mr%20Blounts%20Mss%20Being%20Selections%20From%20The%20Papers%20Of%20A%20Man%20Of%20The%20World&and[]=mediatype%3A%22texts%22&and[]=creator%3A""St%20Leger"""
2742,St Leger,Francis,Tales Of Passion,1829,"https://archive.org/details/texts?&and[]=Tales%20Of%20Passion&and[]=mediatype%3A%22texts%22&and[]=creator%3A""St%20Leger"""
2743,St Leonards,Eden,Oberon Spell A Novel,1869,"https://archive.org/details/texts?&and[]=Oberon%20Spell%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""St%20Leonards"""
2744,Stanford,Hope,Down The Way A Novel,1884,"https://archive.org/details/texts?&and[]=Down%20The%20Way%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stanford"""
2745,Stanhope,Louisa,The Bandits Bride Or The Maid Of Saxony A Romance,1807,"https://archive.org/details/texts?&and[]=The%20Bandits%20Bride%20Or%20The%20Maid%20Of%20Saxony%20A%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stanhope"""
2746,Stanhope,Louisa,The Confessional Of Valombre A Romance,1812,"https://archive.org/details/texts?&and[]=The%20Confessional%20Of%20Valombre%20A%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stanhope"""
2747,Stanhope,Louisa,The Festival Of Mora An Historical Romance,1821,"https://archive.org/details/texts?&and[]=The%20Festival%20Of%20Mora%20An%20Historical%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stanhope"""
2748,Stanley,Jane,A New Face At The Door,1888,"https://archive.org/details/texts?&and[]=A%20New%20Face%20At%20The%20Door&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stanley"""
2749,Steel,Flora,The Flower Of Forgiveness,1900,"https://archive.org/details/texts?&and[]=The%20Flower%20Of%20Forgiveness&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Steel"""
2750,Steinman,Emma,Our Little Gipsy A Novel,1881,"https://archive.org/details/texts?&and[]=Our%20Little%20Gipsy%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Steinman"""
2751,Jenkin,Henrietta,Cousin Stella Or Conflict,1859,"https://archive.org/details/texts?&and[]=Cousin%20Stella%20Or%20Conflict&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Jenkin"""
2752,Stephens,George,The Manuscripts Of Erdxxly A Romance,1835,"https://archive.org/details/texts?&and[]=The%20Manuscripts%20Of%20Erdxxly%20A%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stephens"""
