,verb,coeff_percentage,coeff_count_number,coeff_NSC
200,rushed,0.47140832518334175,0.8809126321647193,0.0025
201,said,0.8929639542808208,1.1571407772635476,-0.0249
202,sank,0.27205772609612,0.47158697158697155,-0.0711
203,sat,0.5604148675198882,0.7485602688449886,-0.135
204,saw,0.7933123948020822,1.0301593932411157,-0.0125
205,say,0.8110264212529337,1.1366272428091562,0.0145
206,says,0.8658503617048803,1.162002572156407,0.0252
207,see,0.8191583540784435,1.0931349149436702,0.0
208,seem,0.43857333649075914,0.7731057452123231,0.0
209,seemed,0.7012674818463704,1.120961264128169,-0.0186
210,seems,0.561065438495291,0.8708614593378338,0.0085
211,seen,0.7484218855069464,1.032722420765541,0.0029
212,sees,0.5136797582331945,0.8713511886849229,0.0158
213,seized,0.556318262511528,0.973951129552789,0.0443
214,send,0.4217565954063528,0.7612363980444726,0.0
215,sent,0.6091241434265333,1.0064649914613317,0.0247
216,set,0.7752786677257537,1.1209153952843276,0.05
217,shook,0.6376030657605374,1.0205908683974931,0.0131
218,show,0.4631145382662121,0.8295755968169762,0.0
219,showed,0.46492687811473,0.8928081106769461,0.0
220,sighed,0.3100776193203036,0.5526866713189111,-0.0518
221,sit,0.36591684530426627,0.5961854418172727,-0.0317
222,sitting,0.32826309632081785,0.5011250635116498,-0.0507
223,smiled,0.44122541903984863,0.7520909115046601,-0.0689
224,sought,0.7093950016618886,1.0896277351520316,0.022000000000000002
225,speak,0.641482619269576,0.9781707514357354,-0.0184
226,spent,0.5607550030177904,0.8423067719550134,0.0166
227,spoke,0.8211417432049538,1.2154853657501383,0.0
228,spoken,0.5403057452763861,0.9152377871239086,0.0052
229,sprang,0.4699997339601759,0.7441597055075746,0.0
230,stand,0.5191172730303257,0.8528621338349903,0.0158
231,started,0.5285338473852397,0.8656266030960498,-0.0144
232,stay,0.48824667003258326,0.7297709923664122,0.0
233,stood,0.766806805866485,1.0644043912587984,-0.0013
234,stopped,0.6575101506202125,0.9842582497939217,0.0
235,succeeded,0.5186163739168241,0.854511659344373,0.0255
236,suffered,0.434175497559183,0.6878060969515243,-0.0375
237,supposed,0.42299015722229627,0.6784807064231284,0.0
238,sure,0.5570718168266269,0.83651558592082,0.0
239,take,0.8983132610225746,1.2751685471206673,0.07
240,taken,0.7830420522050558,1.1939382386580257,0.052000000000000005
241,takes,0.5431262059211135,0.9146464646464652,0.0177
242,talk,0.6143749414090988,0.9850886039475577,0.0187
243,talked,0.650279931276188,0.9969922151450814,0.0226
244,tell,0.6539332313736175,1.0026763957870064,-0.0055
245,think,0.722985259393359,1.007068898691423,-0.0009
246,thinking,0.4728056917313953,0.7606935470679644,-0.0043
247,thinks,0.6279520880318827,1.0206474779778938,0.0245
248,thought,0.7888803343985394,0.9661417777409909,-0.0225
249,threw,0.5471561879607891,0.8680946143770705,-0.0329
250,told,0.7840383366112834,1.1941824340965361,0.0004
251,took,1.0311037377647332,1.3839975556492456,0.1319
252,tried,0.6084271051544117,0.7687028564362559,-0.0255
253,try,0.4878310856439541,0.7307231800766287,0.0
254,turn,0.5283631134088449,0.8775455994333278,0.0223
255,turned,0.7773484083935203,1.0624480190996175,-0.0145
256,understand,0.497256860761696,0.7745043542708909,-0.0251
257,understood,0.43111874502417913,0.726058591826686,-0.0201
258,used,0.6786288582830396,1.0119417311275483,0.0124
259,uttered,0.48124193336450727,0.8796924708377521,-0.0308
260,wait,0.47901623525423037,0.8128991859737007,0.0107
261,waited,0.521180269066159,0.8112261724160675,0.0
262,walk,0.37992487301494204,0.6634195079305607,0.0
263,walked,0.8778403383039384,1.2323753275381604,0.0905
264,want,0.523406990431211,0.8490694984754493,0.0
265,wanted,0.7344611529816087,0.969590017228978,0.0131
266,wants,0.5743548744419693,1.0025622901572713,0.0231
267,was,0.7996295734008774,1.1223096945551134,-0.0495
268,watched,0.5172423310767695,0.7592385218365064,-0.0085
269,went,0.9294593575992445,1.1438896606120834,0.0288
270,wept,0.14043352054972336,0.25544578756826414,-0.1318
271,were,0.5587552089428882,1.0194610778443112,0.0108
272,whispered,0.41090519684451465,0.6411514683153017,-0.0569
273,will,0.4139531275446356,0.8601044727391447,0.0049
274,wish,0.4641116234771441,0.7383574879227055,-0.0125
275,wished,0.7095923292938346,0.9052149370004658,-0.0029
276,wore,0.4536720426561801,0.6860680847391809,-0.0245
277,would,0.5444482450062739,0.9180569185475955,0.0
278,write,0.509471340643944,0.7637964354734808,0.0055
279,written,0.5106412877099604,0.8150713395207092,0.0206
280,wrote,0.6638337851864049,0.9300297324083249,0.0256
